FIPS,Household Size,High Income
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
51840,2.44,0.308
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
51840,2.44,0.308
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
51840,2.44,0.308
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
51840,2.44,0.308
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
51840,2.44,0.308
4001,3.71,0.155
4003,2.47,0.283
4005,2.72,0.321
4007,2.51,0.211
4009,3.01,0.2789999999999999
4011,2.53,0.275
4012,2.07,0.154
4013,2.74,0.351
4015,2.43,0.183
4017,3.09,0.1939999999999999
4019,2.5,0.289
4021,2.9,0.281
4023,3.03,0.2239999999999999
4025,2.3,0.239
4027,2.77,0.22
6001,2.77,0.493
6005,2.36,0.356
6007,2.54,0.2689999999999999
6009,2.38,0.359
6011,3.06,0.297
6013,2.82,0.526
6015,2.57,0.235
6017,2.67,0.46
6019,3.18,0.289
6021,2.89,0.262
6023,2.46,0.238
6025,3.55,0.2769999999999999
6027,2.27,0.297
6029,3.2,0.314
6031,3.24,0.3
6033,2.36,0.217
6035,2.3,0.319
6037,3.02,0.38
6039,3.37,0.265
6041,2.41,0.579
6043,2.33,0.3339999999999999
6045,2.53,0.244
6047,3.35,0.258
6051,2.7,0.389
6053,3.24,0.385
6055,2.71,0.473
6057,2.39,0.3779999999999999
6059,3.04,0.505
6061,2.67,0.492
6063,2.21,0.29
6065,3.24,0.372
6067,2.74,0.364
6069,3.3,0.4429999999999999
6071,3.34,0.348
6073,2.85,0.432
6075,2.32,0.515
6077,3.15,0.349
6079,2.52,0.402
6081,2.82,0.585
6083,2.91,0.423
6085,2.94,0.5920000000000001
6087,2.72,0.451
6089,2.54,0.263
6093,2.25,0.2
6095,2.87,0.4529999999999999
6097,2.58,0.427
6099,3.07,0.31
6101,2.96,0.326
6103,2.65,0.235
6107,3.36,0.258
6109,2.28,0.288
6111,3.07,0.517
6113,2.76,0.386
6115,2.9,0.257
23001,2.35,0.27
23003,2.24,0.198
23005,2.35,0.3939999999999999
23007,2.46,0.231
23009,2.18,0.2739999999999999
23011,2.3,0.284
23013,2.26,0.293
23015,2.26,0.304
23017,2.53,0.223
23019,2.36,0.258
23021,2.22,0.187
23023,2.31,0.342
23025,2.37,0.21
23027,2.31,0.245
23029,2.2,0.181
23031,2.4,0.364
51001,2.25,0.226
51003,2.45,0.455
51005,2.36,0.276
51007,2.65,0.352
51009,2.47,0.27
51011,2.53,0.272
51013,2.26,0.6659999999999999
51015,2.49,0.324
51019,2.49,0.353
51023,2.55,0.426
51025,2.53,0.188
51027,2.41,0.184
51029,2.48,0.2319999999999999
51033,2.55,0.371
51035,2.37,0.1669999999999999
51041,2.78,0.481
51047,2.81,0.427
51051,2.47,0.156
51053,2.73,0.292
51057,2.56,0.235
51059,2.83,0.69
51061,2.86,0.5920000000000001
51063,2.53,0.24
51065,2.52,0.407
51067,2.36,0.267
51069,2.71,0.4539999999999999
51073,2.6,0.413
51079,2.67,0.409
51081,2.42,0.19
51085,2.66,0.519
51087,2.52,0.406
51089,2.33,0.1669999999999999
51093,2.61,0.44
51099,2.92,0.5760000000000001
51101,2.6,0.416
51103,2.1,0.308
51105,2.5,0.134
51107,3.07,0.742
51109,2.62,0.366
51117,2.36,0.2
51121,2.48,0.296
51127,2.62,0.485
51131,2.28,0.226
51135,2.57,0.192
51137,2.71,0.3989999999999999
51139,2.49,0.2339999999999999
51141,2.36,0.144
51143,2.38,0.221
51145,2.64,0.503
51147,2.45,0.239
51149,2.98,0.411
51153,3.15,0.636
51155,2.23,0.237
51161,2.38,0.396
51163,2.4,0.283
51165,2.57,0.319
51167,2.54,0.1989999999999999
51169,2.37,0.206
51171,2.44,0.287
51173,2.43,0.19
51177,2.98,0.526
51179,3.07,0.632
51185,2.35,0.205
51187,2.61,0.411
51191,2.33,0.25
51193,2.49,0.302
51195,2.44,0.1989999999999999
51197,2.42,0.2289999999999999
51199,2.71,0.54
51510,2.2,0.575
51520,2.21,0.155
51530,2.27,0.174
51540,2.37,0.322
51550,2.76,0.4679999999999999
51570,2.47,0.321
51590,2.22,0.157
51610,2.63,0.7
51620,2.35,0.175
51630,2.44,0.331
51640,2.24,0.16
51650,2.51,0.305
51660,2.73,0.2239999999999999
51670,2.53,0.222
51680,2.38,0.2239999999999999
51683,3.29,0.4629999999999999
51700,2.51,0.3
51710,2.56,0.254
51720,2.39,0.136
51730,2.52,0.172
51735,2.6,0.539
51740,2.52,0.265
51750,2.63,0.1889999999999999
51760,2.33,0.254
51770,2.25,0.206
51775,2.32,0.287
51790,2.17,0.233
51800,2.75,0.441
51810,2.63,0.442
